cluster,age,potential,value_eur,wage_eur,dribbling,technical_score,value_per_wage,age_potential_gap,overall
0,28.68717948717949,66.09389920424402,595047.0380194518,8293.191865605659,62.666136162687884,62.666136162687884,82.88697097964754,1.1338638373121133,64.96003536693192
1,23.234350909651557,63.27844588344126,252764.41566450818,4482.886216466235,45.870490286771506,45.870490286771506,47.97543893804647,5.254085723095899,58.02436016034536
2,26.04303675048356,77.38878143133462,3926515.9574468085,49818.181818181816,72.35444874274661,72.35444874274661,79.56146698229561,2.8699226305609282,74.5188588007737
3,20.80910891089109,69.96079207920792,351022.7722772277,4947.920792079208,62.74574257425743,62.74574257425743,69.34405875590173,8.597029702970296,61.363762376237624
4,26.92086330935252,85.4748201438849,22805755.395683452,163129.4964028777,77.54676258992805,77.54676258992805,133.99422894789635,1.5467625899280575,83.92805755395683
